family,categories,origin,climate,img_url,name,water_category,venomous,ind_pets,size,ind_apartment,soil,sunlight,water_category_code,size_code,soil_code,sunlight_code,soil_diff,sunlight_diff,water_diff,experience_level_code,disponibility_level_code,kmeans_group,group_name
Euphorbiaceae,Cactus & Succulent,South Africa,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5601.jpg,Giant Candelabra tree,2-4 weeks,1,0,very big,0,Sandy soils,Full sun,0,3,2,0,medium,hard,easy,1.0,0.0,4,Majestade Tóxica
Malvaceae,Flower,Asia,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5645.jpg,Chinese hibiscus,weekly,0,1,big,0,Loamy soils,Full sun,2,2,0,0,easy,hard,hard,0.5,1.0,3,Guardião Natural
Araceae,Philodendron,Venezuela,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5686.jpg,Fernleaf Philodendron,weekly,1,0,big,0,Silty and clay soils,Partial shade,2,2,3,2,hard,easy,hard,0.5,0.0,4,Majestade Tóxica
Araceae,Foliage plant,South Africa,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5789.jpg,Zz plant,weekly,1,0,medium,1,Silty and clay soils,Partial shade,2,1,3,2,hard,easy,hard,0.5,0.0,0,Miniaturas Tóxicas
Polypodiaceae,Fern,Brazil,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5437.jpg,Maindenhair,weekly,0,1,medium,1,Peat soils,Partial shade,2,1,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Piperaceae,Other,Venezuela,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5679.jpg,Baby rubber plant,weekly,0,1,small,1,Peat soils,Partial shade,2,0,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Strelitziaceae,Foliage plant,South Africa,Subtropical,http://www.tropicopia.com/house-plant/thumbnails/5769.jpg,White bird of paradise,7-10 days,0,1,medium,1,Loamy soils,Full sun,1,1,0,0,easy,hard,medium,0.5,0.5,1,Companhia Segura
Crasssulaceae,Hanging,Mexico,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5756.jpg,Burro-tail,7-10 days,0,1,small,1,Sandy soils,Full sun,1,0,2,0,medium,hard,medium,1.0,0.5,2,Domínio Verde
Araceae,Philodendron,Brazil,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5693.jpg,Lacy tree-philodendron,weekly,1,0,medium,1,Silty and clay soils,Partial shade,2,1,3,2,hard,easy,hard,0.5,0.0,0,Miniaturas Tóxicas
Agavaceae,Foliage plant,Mexico,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5670.jpg,Elephant foot,7-10 days,0,1,medium,1,Sandy soils,Full sun,1,1,2,0,medium,hard,medium,1.0,0.5,2,Domínio Verde
Arecaceae,Palm,Mexico,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5523.jpg,Miniature fishtail,weekly,0,1,small,1,Sandy soils,Full sun,2,0,2,0,medium,hard,hard,1.0,1.0,2,Domínio Verde
Pteridaceae,Fern,Asia,Tropical humid,http://www.tropicopia.com/house-plant/thumbnails/5720.jpg,Silver Lace Fern,weekly,0,1,small,1,Peat soils,Partial shade,2,0,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Araceae,Anthurium,Ecuador,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5495.jpg,Bronze Anthurium,weekly,1,0,small,1,Silty and clay soils,Partial shade,2,0,3,2,hard,easy,hard,0.5,0.0,0,Miniaturas Tóxicas
Crasssulaceae,Cactus & Succulent,South Africa,Subtropical arid,http://www.tropicopia.com/house-plant/thumbnails/5536.jpg,Jade Plant,2-4 weeks,0,1,small,1,Sandy soils,Full sun,0,0,2,0,medium,hard,easy,1.0,0.0,1,Companhia Segura
Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5443.jpg,Dragon-tree Agave,2-4 weeks,1,0,big,0,Loamy soils,Full sun or partial shade,0,2,0,1,easy,medium,easy,0.0,0.0,4,Majestade Tóxica
Bromeliaceae,Bromeliad,Ecuador,Tropical humid,http://www.tropicopia.com/house-plant/thumbnails/5776.jpg,Pink quill,weekly,0,1,small,1,Sandy soils,Full sun or partial shade,2,0,2,1,medium,medium,hard,0.5,0.5,1,Companhia Segura
Araceae,Philodendron,Central America,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5662.jpg,Splitleaf Philodendron,weekly,1,0,medium,1,Silty and clay soils,Partial shade,2,1,3,2,hard,easy,hard,0.5,0.0,0,Miniaturas Tóxicas
Bromeliaceae,Bromeliad,Brazil,Tropical humid,http://www.tropicopia.com/house-plant/thumbnails/5438.jpg,Silver vase,weekly,0,1,medium,1,Sandy soils,Full sun or partial shade,2,1,2,1,medium,medium,hard,0.5,0.5,1,Companhia Segura
Podocarpaceae,Foliage plant,Central Africa,Subtropical,http://www.tropicopia.com/house-plant/thumbnails/5699.jpg,African fern pine,7-10 days,0,1,big,0,Silty and clay soils,Full sun or partial shade,1,2,3,1,hard,medium,medium,1.0,0.0,3,Guardião Natural
Araceae,Foliage plant,Colombia,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5785.jpg,Indian kale,weekly,1,0,big,0,Silty and clay soils,Partial shade,2,2,3,2,hard,easy,hard,0.5,0.0,4,Majestade Tóxica
Cactaceae,Cactus & Succulent,Central Mexico,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5590.jpg,Golden Barrel,2-4 weeks,0,1,big,0,Sandy soils,Full sun,0,2,2,0,medium,hard,easy,1.0,0.0,3,Guardião Natural
Arecaceae,Palm,Brazil,Tropical humid,http://www.tropicopia.com/house-plant/thumbnails/5770.jpg,Parrot palm,weekly,0,1,big,0,Sandy soils,Full sun,2,2,2,0,medium,hard,hard,1.0,1.0,3,Guardião Natural
Marantaceae,Foliage plant,Brazil,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5508.jpg,Stromante,weekly,0,1,medium,1,Peat soils,Partial shade,2,1,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Dryopteridaceae,Fern,Asia,Subtropical,http://www.tropicopia.com/house-plant/thumbnails/5541.jpg,Holly-fern,7-10 days,0,1,medium,1,Silty and clay soils,Partial shade,1,1,3,2,hard,easy,medium,0.5,0.0,1,Companhia Segura
Marantaceae,Foliage plant,Brazil,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5538.jpg,Phrynium,weekly,0,1,medium,1,Peat soils,Partial shade,2,1,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Cactaceae,Cactus & Succulent,Brazil,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5513.jpg,Tree-Cereus,2-4 weeks,0,1,big,0,Sandy soils,Full sun,0,2,2,0,medium,hard,easy,1.0,0.0,3,Guardião Natural
Marantaceae,Hanging,Brazil,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5658.jpg,Green prayer plant,weekly,0,1,small,1,Peat soils,Partial shade,2,0,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Liliaceae,Hanging,Central Africa,Tropical to subtropical,http://www.tropicopia.com/house-plant/thumbnails/5527.jpg,Spider plant,7-10 days,1,0,small,1,Loamy soils,Full sun,1,0,0,0,easy,hard,medium,0.5,0.5,0,Miniaturas Tóxicas
Cactaceae,Cactus & Succulent,Brazil,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5516.jpg,Monster cactus,2-4 weeks,0,1,big,0,Sandy soils,Full sun,0,2,2,0,medium,hard,easy,1.0,0.0,3,Guardião Natural
Bromeliaceae,Bromeliad,Brazil,Subtropical,http://www.tropicopia.com/house-plant/thumbnails/5439.jpg,Coral berry,7-10 days,0,1,medium,1,Sandy soils,Full sun or partial shade,1,1,2,1,medium,medium,medium,0.5,0.0,1,Companhia Segura
Apocynaceae,Flower,Brazil,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5484.jpg,Golden Trumpet,weekly,1,0,big,0,Sandy soils,Full sun,2,2,2,0,medium,hard,hard,1.0,1.0,4,Majestade Tóxica
Aspleniaceae,Fern,Asia,Tropical humid,http://www.tropicopia.com/house-plant/thumbnails/5499.jpg,Birdnest fern,weekly,0,1,medium,1,Peat soils,Partial shade,2,1,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Marantaceae,Foliage plant,Brazil,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5507.jpg,Velvet Calathea,weekly,0,1,small,1,Peat soils,Partial shade,2,0,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5445.jpg,Lilliput Agave,2-4 weeks,1,0,small,1,Loamy soils,Full sun or partial shade,0,0,0,1,easy,medium,easy,0.0,0.0,0,Miniaturas Tóxicas
Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5444.jpg,Thread Agave,2-4 weeks,1,0,small,1,Loamy soils,Full sun or partial shade,0,0,0,1,easy,medium,easy,0.0,0.0,0,Miniaturas Tóxicas
Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,http://www.tropicopia.com/house-plant/thumbnails/5446.jpg,Blue Agave,2-4 weeks,1,0,big,0,Loamy soils,Full sun or partial shade,0,2,0,1,easy,medium,easy,0.0,0.0,4,Majestade Tóxica
